b,e,c,n,w,be,bc,bn,bw,ec,en,ew,cn,cw,nw,bec,ben,bew,bcn,bcw,bnw,ecn,ecw,enw,cnw,becn,becw,benw,bcnw,ecnw
4294574.356,1575512.254,1697775.811,1601905.047,1444581.992,71610.43354,79969.83425,58247.33291,59360.44842,339329.3864,204943.5293,148158.383,184427.4822,136054.6697,414315.6019,62820.11255,33148.19169,31221.62762,33497.6154,31876.66024,56885.99858,163792.5249,126260.5926,220188.6915,186723.3506,91059.57289,82894.57897,104041.2006,94373.9069,1667366.62
4306681.941,1574186.472,1696708.468,1599011.154,1441585.384,70826.62186,80756.97492,58070.29051,59676.97591,339544.6366,203920.7353,147795.2405,183963.9727,135224.767,415669.1307,63291.44173,32797.51849,31034.54973,33517.3904,31785.4912,57353.80924,162994.5524,125169.1977,221413.6847,185224.7444,90876.18746,82133.93503,103796.7042,94425.96742,1674468.435
4301164.825,1573119.555,1696228.843,1601930.145,1441844.255,71730.91533,80281.09832,58918.50378,60449.86336,339315.8612,205030.7107,149324.9658,185441.1334,136215.72,415571.5236,63301.31448,33122.87903,32038.99236,33950.76159,32331.27062,57825.41696,164277.5452,127012.7777,221040.9776,186481.3072,90332.77263,83215.00414,104673.6699,94714.20362,1668591.918
4306708.832,1571411.984,1696740.478,1600012.962,1440715.186,70960.91835,80075.94365,57496.48014,59287.76655,338511.2776,204233.259,147281.1971,184337.3667,135376.2343,414415.6566,62817.53081,32747.4589,31700.73598,32710.18138,32019.8266,56703.56524,163612.7969,125365.9482,220619.9358,185767.9636,90096.80011,82398.27871,104484.998,93794.47168,1677522.39
4300994.975,1572794.104,1697071.338,1601197.689,1438079.869,70440.30972,79762.76242,58311.74568,59149.38019,339635.277,203896.5996,147784.0673,184324.6088,135433.0429,414085.1042,62576.3098,32281.71538,31413.50088,32789.27156,31576.41555,57598.71597,162984.7698,126392.477,219794.8256,185230.2851,88626.07794,82193.7002,103678.9696,93287.4278,1676684.154
4302704.904,1571920.366,1697152.408,1601363.227,1441320.708,71717.35235,80539.39536,57973.87623,59668.02217,338587.29,204525.318,148195.4017,184950.6903,135685.2863,414512.4825,63269.51262,32715.20215,31703.52022,32926.93204,31790.90919,56841.49767,163850.3555,125685.6321,221698.4217,186532.4971,88936.76102,82013.16651,104600.8827,93194.59393,1669449.259
4294257.516,1572753.264,1697977.11,1600646.232,1440810.046,71811.77275,80311.98258,58425.01206,59578.46296,338414.2011,204538.2989,148049.655,185076.5411,135976.9296,414814.1964,63422.38969,33021.05241,31925.51997,33245.99826,32011.18438,57304.52773,162899.4778,125756.2418,220453.206,186261.0865,89117.5449,82726.61034,104896.324,94031.95223,1667667.219
4291982.017,1574326.873,1697288.438,1603701.134,1441557.72,71322.34929,80274.56051,58122.45716,58989.27562,339985.0618,204700.3058,147901.855,185081.9427,135648.4004,413635.7734,63164.7538,32845.34366,31646.89876,32979.12146,31880.78389,57606.17279,163346.3612,126232.5353,219796.1804,185143.4427,90171.01307,83220.4946,104140.7158,93966.44383,1667137.366
4309193.826,1571445.337,1695400.848,1597737.613,1440268.122,70308.04985,79190.87629,57701.32287,59580.97695,339298.1566,204378.0172,147315.0132,184213.7177,134980.2247,414454.9097,62632.71977,32623.12672,31202.89364,32941.68327,31817.08742,57859.39572,163876.9503,125255.1481,219874.1089,184848.8672,90082.47966,81657.22513,104019.4689,93855.51024,1680057.871
4300272.729,1574274.653,1697478.452,1601930.022,1443210.287,70942.11232,79929.77075,58198.62011,58933.12343,339459.3856,204070.8247,148093.1739,184679.4969,135796.0617,414321.0179,62731.96125,32807.97359,31235.18455,33086.28486,31653.34715,56820.38898,163263.4403,126514.1648,220355.7517,185719.2039,89825.87515,82038.44486,103861.9891,93608.75575,1672175.253
