b e c n w b:e b:c b:n b:w e:c e:n e:w c:n c:w n:w b:e:c b:e:n b:e:w b:c:n b:c:w b:n:w e:c:n e:c:w e:n:w c:n:w b:e:c:n b:e:c:w b:e:n:w b:c:n:w e:c:n:w
4309692.8429035 1574533.1858945 1697500.2270780 1600436.8493929 1440570.8533947 71446.3409826 80361.9079035 58444.1557744 59846.3660223 341268.6940025 204555.5865859 147753.2610654 184617.3763104 135009.7726652 415248.8751755 63278.5670662 32492.7978291 31563.5378561 32975.1200314 31896.0676747 58124.0279782 164513.7437715 126243.2883514 220857.0322657 185782.2365891 89296.7064480 82264.7245547 104511.4984585 94281.2794297 1674666.9306483
4292121.1298209 1573921.7198987 1697909.6692641 1602012.4495753 1441055.8144372 71946.7804393 80908.5235338 58040.0244147 59913.0420585 340853.2395330 204907.3259875 147828.8801673 184973.5777716 135591.5438780 414408.2352324 63134.9128765 32773.2844142 31975.2294969 32979.0754369 32071.7209980 58172.2936357 163971.7155536 126274.3505075 221518.6400031 185941.4066758 88758.3870550 83315.4634589 105156.5147013 94415.4303180 1665501.5688345
4302783.0430420 1573262.8073023 1696258.1159531 1602388.5029348 1441276.2198672 70590.3957552 79821.3255210 58218.8029800 60465.9112904 340202.5201147 204588.1363350 148199.4973985 184802.5710844 135897.1910111 413247.6837746 62388.7344693 32458.6887325 31505.3563864 32939.8054153 31772.0126785 57428.9371615 164786.8599466 126264.7442549 219897.4719904 184977.2760094 89148.4218155 81793.4302508 103731.4973921 93429.8389466 1668195.0467198
4308484.6103361 1572490.3982004 1696472.1772706 1598873.9867055 1440485.9437508 72092.8102313 81200.9442537 58247.3862421 59505.9984415 340573.7108237 203983.0882232 148145.7061145 184811.6744689 135919.7856830 415349.3334605 63195.8163537 32735.7543778 31851.0442648 33209.0498494 31932.0446156 58098.9135246 164054.4312043 126350.6623751 222052.5167337 187328.0524462 89212.9341199 83151.8833592 105226.1825433 94798.9006084 1674578.6242583
4305223.6565193 1574422.3354351 1696507.1232695 1602030.2316534 1443513.7677387 72243.6112748 80748.5930772 58707.7379953 60381.6600152 339928.7331606 205086.7317930 148685.4370586 185358.6844563 136317.8443632 415189.5784784 63424.1247423 33120.7482615 31891.7396251 33553.4251196 32219.1622623 57928.6461636 164231.1561807 126663.7424159 220774.2685390 186329.3419942 90768.9057734 83408.3146882 104499.7010091 94723.1407965 1673977.6287390
4294188.2685774 1575223.8423847 1697916.4961282 1602150.9620654 1441431.4450142 71270.4719962 80226.4654950 58264.5177809 60333.5751871 340318.7921762 204618.7402473 148207.5846783 184644.0227499 135902.5498484 416511.9358589 63703.4659810 32883.0637823 31800.1570186 33183.0382885 32087.5864869 58350.9809038 163849.9837188 126284.6205911 221216.7945292 186560.6650072 89688.7251900 82758.0675390 105033.1436619 94808.7952602 1664337.1007912
4298511.3659447 1571313.5525903 1694505.0159777 1603675.2187111 1442919.7681334 70965.4519977 80549.7129925 58295.7855084 59264.4165542 338698.4839519 204972.7133389 148289.9101594 184699.0390530 135872.1329461 413520.2560138 63287.5893346 33022.9918137 31477.3482288 33494.8293497 32042.2435504 57162.6406481 163266.0760187 126363.2806627 219783.7753378 184853.1852300 90009.3399049 83418.3258212 103807.1628149 93647.3513849 1668795.8508274
4293320.2324513 1574883.3204662 1698130.7729881 1601863.2528229 1442034.1061457 70793.6790834 79806.0524554 57657.0430764 59123.6103949 339402.0757940 204218.3213766 147963.2970210 184104.7465024 135291.9227674 414797.0646233 62349.0114396 32522.3182750 31425.5696994 32725.4652201 31777.9984149 57182.6949077 162598.5222063 125799.8337704 220320.1903158 185995.9364729 88891.8052646 82876.4342034 104191.6236151 93668.3667191 1662054.5676541
4296142.5651919 1576431.0418146 1696715.4060641 1603855.8725281 1445748.5737277 71041.0276814 79765.4452934 58721.8904134 60061.9572899 341016.7004550 204889.5079148 148171.8482745 185016.2672430 136181.9589217 413921.5943509 62300.6703762 33103.8811912 31533.5377786 33392.9398246 32224.6771672 57641.5409910 164189.3624907 126817.3337471 219190.1346671 185133.6784990 90267.2044762 83248.7723767 104394.5643250 94655.1183597 1667963.5729126
4306670.1820624 1573552.2477628 1696613.3510362 1599429.5639082 1440560.6637741 71801.9981663 81178.7222738 58548.7348238 59678.8687583 338937.8799465 204746.8822001 148222.0623675 183977.2768249 135736.1829055 413239.9181089 62936.4814737 32989.0448715 31422.4846534 33347.4968764 32322.3562046 57646.5843648 163542.7472408 126272.2872230 221307.7785225 185966.2692880 89705.1180183 82901.9928477 104505.7878137 94007.1992410 1674567.2489267
